street_name,avgdist_nearestMRT
ADMIRALTY DR,0.506265709
ADMIRALTY LINK,0.852993842
AH HOOD RD,0.651476945
ALEXANDRA RD,0.284802045
ALJUNIED CRES,0.470139187
ALJUNIED RD,0.785837607
ANCHORVALE DR,0.47952827
ANCHORVALE LANE,1.197399512
ANCHORVALE LINK,0.699013704
ANCHORVALE RD,0.949555613
ANG MO KIO AVE 1,0.942065678
ANG MO KIO AVE 10,0.863806215
ANG MO KIO AVE 2,1.966316118
ANG MO KIO AVE 3,0.699315084
ANG MO KIO AVE 4,1.098320823
ANG MO KIO AVE 5,0.772465724
ANG MO KIO AVE 6,0.339295585
ANG MO KIO AVE 8,0.427663489
ANG MO KIO AVE 9,0.491740448
ANG MO KIO ST 11,1.213018566
ANG MO KIO ST 21,1.680089183
ANG MO KIO ST 31,0.655761256
ANG MO KIO ST 32,0.661822398
ANG MO KIO ST 52,0.283988976
BAIN ST,0.388931874
BALAM RD,0.500399803
BANGKIT RD,1.257303569
BEACH RD,0.367205171
BEDOK CTRL,0.457222949
BEDOK NTH AVE 1,0.813534089
BEDOK NTH AVE 2,0.651722224
BEDOK NTH AVE 3,0.833627556
BEDOK NTH AVE 4,1.072573398
BEDOK NTH RD,0.854225314
BEDOK NTH ST 1,0.38656513
BEDOK NTH ST 2,0.917983419
BEDOK NTH ST 3,1.094290016
BEDOK NTH ST 4,0.954989225
BEDOK RESERVOIR RD,1.379599819
BEDOK RESERVOIR VIEW,1.434766803
BEDOK STH AVE 1,0.393133069
BEDOK STH AVE 2,0.822681774
BEDOK STH AVE 3,0.87959199
BEDOK STH RD,0.79833475
BENDEMEER RD,0.460081007
BEO CRES,0.28595866
BISHAN ST 11,0.826970764
BISHAN ST 12,0.550565864
BISHAN ST 13,0.663868628
BISHAN ST 22,1.078847374
BISHAN ST 23,0.724245351
BISHAN ST 24,0.908250054
BOON KENG RD,0.35150505
BOON LAY AVE,1.051862713
BOON LAY DR,0.859286445
BOON LAY PL,0.888662067
BOON TIONG RD,0.51499571
BRIGHT HILL DR,1.297380477
BT BATOK CTRL,0.345750026
BT BATOK EAST AVE 3,0.76251195
BT BATOK EAST AVE 4,1.121168268
BT BATOK EAST AVE 5,0.762318438
BT BATOK ST 11,0.718407367
BT BATOK ST 21,0.366622417
BT BATOK ST 22,0.463117051
BT BATOK ST 24,0.973644377
BT BATOK ST 25,1.271723283
BT BATOK ST 31,0.325521046
BT BATOK ST 32,0.591026364
BT BATOK ST 33,0.594555823
BT BATOK ST 34,0.450237347
BT BATOK ST 51,0.371118068
BT BATOK ST 52,0.574017924
BT BATOK WEST AVE 2,0.801886365
BT BATOK WEST AVE 4,0.860501948
BT BATOK WEST AVE 5,0.601363337
BT BATOK WEST AVE 6,0.457141886
BT BATOK WEST AVE 7,1.000218998
BT BATOK WEST AVE 8,0.846773156
BT MERAH CTRL,0.663911682
BT MERAH LANE 1,1.06131578
BT MERAH VIEW,0.497090775
BT PANJANG RING RD,0.971794011
BT PURMEI RD,1.031425626
BUANGKOK CRES,1.469255949
BUANGKOK LINK,1.320003351
BUANGKOK STH FARMWAY 1,0.745701618
BUFFALO RD,0.104039783
C'WEALTH AVE,0.260962818
C'WEALTH AVE WEST,0.769697769
C'WEALTH CL,0.281192214
C'WEALTH CRES,0.551930658
C'WEALTH DR,0.428919313
CAMBRIDGE RD,0.695440635
CANBERRA LINK,0.323211087
CANBERRA RD,0.370388381
CANTONMENT CL,0.523106062
CANTONMENT RD,0.380069334
CASHEW RD,0.805662814
CASSIA CRES,0.422012999
CHAI CHEE AVE,0.529337556
CHAI CHEE DR,0.958397198
CHAI CHEE RD,0.901206609
CHAI CHEE ST,0.918494072
CHANDER RD,0.245255749
CHANGI VILLAGE RD,3.497093033
CHIN SWEE RD,0.508530805
CHOA CHU KANG AVE 1,0.734728652
CHOA CHU KANG AVE 2,0.770947143
CHOA CHU KANG AVE 3,0.740584986
CHOA CHU KANG AVE 4,0.688821567
CHOA CHU KANG AVE 5,1.312660143
CHOA CHU KANG CRES,0.626874633
CHOA CHU KANG CTRL,0.485931619
CHOA CHU KANG DR,0.653313572
CHOA CHU KANG LOOP,0.211492339
CHOA CHU KANG NTH 5,0.52725211
CHOA CHU KANG NTH 6,0.273026497
CHOA CHU KANG NTH 7,0.338150733
CHOA CHU KANG ST 51,0.624547614
CHOA CHU KANG ST 52,0.499904618
CHOA CHU KANG ST 53,0.655728182
CHOA CHU KANG ST 54,0.431580011
CHOA CHU KANG ST 62,0.364610814
CHOA CHU KANG ST 64,0.198172822
CIRCUIT RD,0.410929022
CLARENCE LANE,0.406502583
CLEMENTI AVE 1,0.800359888
CLEMENTI AVE 2,0.515962746
CLEMENTI AVE 3,0.338474061
CLEMENTI AVE 4,0.57614544
CLEMENTI AVE 5,0.476407121
CLEMENTI AVE 6,0.66554185
CLEMENTI ST 11,1.001060422
CLEMENTI ST 12,1.000349556
CLEMENTI ST 13,1.218393056
CLEMENTI ST 14,0.932856933
CLEMENTI WEST ST 1,1.236024193
CLEMENTI WEST ST 2,1.205632691
COMPASSVALE BOW,0.422737745
COMPASSVALE CRES,0.742291917
COMPASSVALE DR,0.535653386
COMPASSVALE LANE,0.607310019
COMPASSVALE LINK,0.315763221
COMPASSVALE RD,0.379878754
COMPASSVALE ST,0.686921251
COMPASSVALE WALK,0.52927318
CORPORATION DR,0.649398031
CRAWFORD LANE,0.343869643
DAKOTA CRES,0.110373912
DELTA AVE,0.64804692
DEPOT RD,1.133467579
DORSET RD,0.490705841
DOVER CL EAST,0.532071204
DOVER CRES,0.690611361
DOVER RD,0.58561797
EAST COAST RD,1.524324187
EDGEDALE PLAINS,1.528805795
EDGEFIELD PLAINS,1.025729569
ELIAS RD,0.84375804
EMPRESS RD,0.280906131
EUNOS CRES,0.409016301
EUNOS RD 5,0.490144355
EVERTON PK,0.238684667
FAJAR RD,0.917098161
FARRER PK RD,0.379689049
FARRER RD,0.086249326
FERNVALE LANE,2.245392291
FERNVALE LINK,1.75337034
FERNVALE RD,2.060367891
FRENCH RD,0.30927728
GANGSA RD,0.428856225
GEYLANG BAHRU,0.911203173
GEYLANG EAST AVE 1,0.443917462
GEYLANG EAST AVE 2,0.489643384
GEYLANG EAST CTRL,0.297494739
GEYLANG SERAI,0.586920509
GHIM MOH LINK,0.525037322
GHIM MOH RD,0.517648592
GLOUCESTER RD,0.326667024
HAIG RD,0.786664759
HAVELOCK RD,0.495051824
HENDERSON CRES,0.554400875
HENDERSON RD,0.585680834
HILLVIEW AVE,0.4741466
HO CHING RD,1.150834431
HOLLAND AVE,0.352116204
HOLLAND CL,0.416328624
HOLLAND DR,0.373190073
HOUGANG AVE 1,0.813118606
HOUGANG AVE 10,0.506201614
HOUGANG AVE 2,0.685454605
HOUGANG AVE 3,0.761205757
HOUGANG AVE 4,0.873981855
HOUGANG AVE 5,0.590028505
HOUGANG AVE 6,0.438506352
HOUGANG AVE 7,0.720106351
HOUGANG AVE 8,0.936892689
HOUGANG AVE 9,1.501500828
HOUGANG CTRL,0.24952137
HOUGANG ST 11,0.7669471
HOUGANG ST 21,0.414218675
HOUGANG ST 22,0.760549106
HOUGANG ST 31,0.617611477
HOUGANG ST 51,0.610621668
HOUGANG ST 52,0.693290054
HOUGANG ST 61,0.855343231
HOUGANG ST 91,1.328720052
HOUGANG ST 92,1.402312673
HOY FATT RD,0.70191929
HU CHING RD,1.147545101
INDUS RD,0.5629701
JELAPANG RD,0.964089636
JELEBU RD,0.20577251
JELLICOE RD,0.186490766
JLN BAHAGIA,0.83022599
JLN BATU,0.447447942
JLN BERSEH,0.621783805
JLN BT HO SWEE,0.377933451
JLN BT MERAH,0.876739078
JLN DAMAI,1.4686655
JLN DUA,0.125060796
JLN DUSUN,0.603536821
JLN KAYU,2.369918295
JLN KLINIK,0.247595432
JLN KUKOH,0.639097569
JLN MA'MOR,1.054075431
JLN MEMBINA,0.354878207
JLN MEMBINA BARAT,0.293363028
JLN PASAR BARU,0.606898142
JLN RAJAH,0.940064418
JLN RUMAH TINGGI,0.786756527
JLN TECK WHYE,0.710166445
JLN TENAGA,1.471671694
JLN TENTERAM,0.920165224
JLN TIGA,0.367251448
JOO CHIAT RD,0.673162538
JOO SENG RD,0.768740776
JURONG EAST AVE 1,0.89114951
JURONG EAST ST 13,0.568113033
JURONG EAST ST 21,0.624429362
JURONG EAST ST 24,0.867587518
JURONG EAST ST 31,0.708778376
JURONG EAST ST 32,0.460094981
JURONG WEST AVE 1,0.87893055
JURONG WEST AVE 3,1.527053219
JURONG WEST AVE 5,0.885435198
JURONG WEST CTRL 1,0.4877881
JURONG WEST ST 24,1.336591984
JURONG WEST ST 25,1.638110434
JURONG WEST ST 41,0.622026358
JURONG WEST ST 42,1.048803654
JURONG WEST ST 51,0.645664064
JURONG WEST ST 52,0.476905442
JURONG WEST ST 61,0.249715096
JURONG WEST ST 62,0.426025342
JURONG WEST ST 64,0.448241027
JURONG WEST ST 65,0.55201187
JURONG WEST ST 71,0.626358895
JURONG WEST ST 72,0.948001376
JURONG WEST ST 73,1.102748719
JURONG WEST ST 74,1.348953179
JURONG WEST ST 75,0.984297115
JURONG WEST ST 81,1.031350272
JURONG WEST ST 91,1.119001789
JURONG WEST ST 92,0.927623092
JURONG WEST ST 93,0.39532348
KALLANG BAHRU,0.799449587
KANG CHING RD,0.531869658
KELANTAN RD,0.534602038
KENT RD,0.592230651
KG ARANG RD,0.644818525
KG BAHRU HILL,1.016301033
KG KAYU RD,0.322141417
KIM CHENG ST,0.551325977
KIM KEAT AVE,1.18085249
KIM KEAT LINK,1.100531128
KIM PONG RD,0.415368805
KIM TIAN PL,0.360366547
KIM TIAN RD,0.537728211
KING GEORGE'S AVE,0.282605092
KLANG LANE,0.412622854
KRETA AYER RD,0.298304437
LENGKOK BAHRU,0.470361816
LENGKONG TIGA,0.447850436
LIM CHU KANG RD,5.491506824
LIM LIAK ST,0.479735887
LOMPANG RD,0.345338296
LOR 1 TOA PAYOH,0.319760398
